offer_id,source,url,title,price_amount,price_currency,price_per_m2,area_m2,rooms,city,district,street,lat,lon,posted_at,updated_at
mzn2045452422,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-40m2-mzn2045452422,Mieszkanie na sprzedaż - 40 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,670495.0,PLN,16580.0,42.0,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
mzn2046479768,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-uczniowska-40m2-mzn2046479768,Mieszkanie na sprzedaż - 40 m² - 2 pokoje Brzeźno Gdańsk,673695.0,PLN,16500.0,43.0,2.0,Gdansk,Brzezno,Uczniowska,54.4045806,18.63265165,,
mzn2045452431,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-40m2-mzn2045452431,Mieszkanie na sprzedaż - 40 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,674563.0,PLN,16660.0,42.0,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
mzn2046479766,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-uczniowska-40m2-mzn2046479766,Mieszkanie na sprzedaż - 40 m² - 2 pokoje Brzeźno Gdańsk,677280.0,PLN,16600.0,43.0,2.0,Gdansk,Brzezno,Uczniowska,54.4045806,18.63265165,,
mzn2046479764,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-uczniowska-40m2-mzn2046479764,Mieszkanie na sprzedaż - 40 m² - 2 pokoje Brzeźno Gdańsk,680525.0,PLN,16700.0,43.0,2.0,Gdansk,Brzezno,Uczniowska,54.4045806,18.63265165,,
mzn2046479762,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-uczniowska-40m2-mzn2046479762,Mieszkanie na sprzedaż - 40 m² - 2 pokoje Brzeźno Gdańsk,682920.0,PLN,16800.0,43.0,2.0,Gdansk,Brzezno,Uczniowska,54.4045806,18.63265165,,
mzn2045452440,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-40m2-mzn2045452440,Mieszkanie na sprzedaż - 40 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,684616.0,PLN,16850.0,42.0,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
mzn2045452394,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-41m2-mzn2045452394,Mieszkanie na sprzedaż - 41 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,685501.0,PLN,16550.0,42.0,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
mzn2045452303,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-41m2-mzn2045452303,Mieszkanie na sprzedaż - 41 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,691714.0,PLN,16700.0,42.0,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
mzn2046479778,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-uczniowska-42m2-mzn2046479778,Mieszkanie na sprzedaż - 42 m² - 2 pokoje Brzeźno Gdańsk,693990.0,PLN,16500.0,43.0,2.0,Gdansk,Brzezno,Uczniowska,54.4045806,18.63265165,,
